X,Y,X,Y,ID,Easting,Northing,Lat,Lon,hr_may_sum,nrmht_nad2,stdht_nad2,dem_nad27,mar_averag,oct_averag,dec_sum,hr_jul_ave,hr_sep_ave,genc_nad27,mar_sum,may_averag,vlydpth_na,feb_sum,slope_nad2,hr_dec_ave,jan_averag,dec_averag,hr_may_ave,hr_oct_sum,hr_aug_ave,sep_sum,feb_averag,planc_nad2,nov_averag,profc_nad2,hr_nov_sum,oct_sum,hr_nov_ave,jun_averag,cata_nad27,hr_jul_sum,apr_sum,hr_jun_ave,hr_dec_sum,jul_sum,sep_averag,hr_sep_sum,hr_feb_sum,tpi_nad27,apr_averag,jun_sum,hr_feb_ave,hr_jun_sum,hr_apr_ave,hr_mar_ave,may_sum,nov_sum,hr_aug_sum,hr_mar_sum,aspect_nad,hr_apr_sum,slpht_nad2,hr_jan_ave,hr_oct_ave,jan_sum,twi_nad27,aug_sum,aug_averag,hr_jan_sum,jul_averag
353194,3962859,353194,3962859,113,353194,3962859,35.798876569999997,-106.624683200000010,338.05419,0.91447,2520.39722,2541.20923,7525.10922,6648.16860,151435.58213,11.49113,9.86399,0.01293,233278.38573,9005.45283,1.52524,174590.53750,0.16650,8.15265,5237.83850,4885.01878,11.26847,274.50450,10.87126,235691.27096,6235.37634,0.00164,5495.86975,0.00593,251.62255,206093.22659,8.38742,9125.38381,194.62413,356.22505,256015.30294,11.57761,252.73204,280129.48857,7856.37570,295.91981,239.38238,1.38677,8533.84343,273761.51425,8.54937,347.32819,10.55258,9.46600,270163.58488,164876.09245,337.00910,293.44587,3.05398,316.57727,16.30793,8.31435,8.85498,162372.99338,6.98339,268537.59355,8662.50302,257.74493,9036.43512
353797,3963034,353797,3963034,125,353797,3963034,35.800543759999996,-106.618044200000000,343.02462,0.63217,2467.05566,2565.49927,6815.51543,5715.40104,113887.49688,11.53384,9.89967,0.01563,211280.97840,8979.11677,4.38844,145125.81593,0.15962,6.85411,4004.18977,3673.79022,11.43415,254.47903,11.00142,219377.18828,5183.06485,-0.00113,4316.20807,0.00770,213.87277,177177.43219,7.12909,9230.29708,154.61079,357.54908,245999.02633,11.65456,212.47748,281422.00275,7312.57294,296.99011,214.61429,0.08431,8199.96754,276908.91225,7.66480,349.63690,10.66593,9.29551,269373.50320,129486.24215,341.04415,288.16092,2.55152,319.97804,7.54256,6.94313,8.20900,124129.88280,6.79608,261904.92591,8448.54600,215.23714,9078.12912
352398,3963263,352398,3963263,127,352398,3963263,35.802398300000000,-106.633563800000000,308.39107,0.07210,2313.90234,2520.30811,4714.22256,3573.43650,49883.49425,10.48592,8.53217,-0.00982,146140.89935,7890.41671,23.52526,84322.60190,0.10745,5.37087,1907.78556,1609.14498,10.27970,216.03943,9.73215,161357.09095,3011.52150,0.05973,2190.13456,-0.01116,173.17609,110776.53153,5.77254,8435.85161,2916.40332,325.06341,196819.20119,10.52471,166.49699,253320.08315,5378.56970,255.96524,179.42469,-0.91366,6560.64004,253075.54819,6.40802,315.74142,9.36865,7.89047,236712.50131,65704.03686,301.69661,244.60470,2.96974,281.05937,1.82795,5.62431,6.96901,59141.35246,10.13367,218311.45058,7042.30486,174.35362,8171.61559
352595,3963459,352595,3963459,137,352595,3963459,35.804194369999998,-106.631420400000000,393.35935,0.91493,2541.67749,2564.34814,6461.16471,5373.79130,99313.92127,13.28059,11.40457,0.00395,200296.10611,9027.57703,2.68443,135318.52408,0.16136,7.96786,3580.35530,3203.67488,13.11198,318.16722,12.51900,210068.88844,4832.80443,0.00492,3918.52937,0.00113,261.68912,166587.53030,8.72297,9417.42191,275.42960,411.69815,240265.08633,13.30188,247.00355,285080.11993,7002.29628,342.13698,273.14367,0.73348,8008.83621,282522.65740,9.75513,399.05650,12.08009,10.93530,270827.31103,117555.88106,388.08907,338.99424,5.33625,362.40256,28.87060,8.30393,10.26346,110991.01418,7.36242,259245.56137,8362.76004,257.42195,9196.13290
353399,3963449,353399,3963449,141,353399,3963449,35.804224650000002,-106.622523500000000,359.09821,0.03165,2304.93799,2521.39502,6685.35660,5639.91436,106355.21560,12.48446,10.26081,-0.00228,207246.05462,9023.96780,34.10420,143052.61904,0.06945,7.07877,3852.37880,3430.81341,11.96994,290.42534,11.35184,214683.67382,5109.02211,-0.00528,4209.39772,-0.00077,246.60154,174837.34513,8.22005,9409.64911,1388.52368,387.01826,242869.14415,12.53230,219.44191,285374.41385,7156.12246,307.82440,249.27837,-0.78530,8095.63814,282289.47326,8.90280,375.96901,10.94961,9.98810,270719.03400,126281.93154,351.90690,309.63116,3.15159,328.48820,1.11456,7.75677,9.36856,119423.74282,9.80394,260632.96726,8407.51507,240.45984,9205.62625
353799,3963446,353799,3963446,143,353799,3963446,35.804257270000001,-106.618097400000000,379.18088,0.97330,2559.19458,2566.36426,6078.33272,4973.63899,86876.05686,12.61110,10.79210,0.00620,188428.31447,8787.75273,2.26502,123897.97257,0.06170,7.60742,3177.04237,2802.45345,12.63936,293.77013,11.85177,199718.67038,4424.92759,-0.00978,3513.98179,0.00368,241.69749,154182.80854,8.05658,9186.62217,167.02914,390.94417,230747.38708,12.63406,235.82993,277764.38610,6657.28901,323.76287,250.91256,1.22471,7691.57957,275598.66512,8.96116,379.02165,11.39037,10.11735,263632.58188,105419.45356,367.40477,313.63785,2.33666,341.71101,82.55663,7.82062,9.47646,98488.31355,7.83112,250475.23498,8079.84629,242.43935,8960.14149
352393,3963658,352393,3963658,145,352393,3963658,35.805957509999999,-106.633692000000000,394.64857,0.76117,2476.57324,2532.64771,5955.88155,4809.26672,82584.00816,13.32430,11.36068,0.02233,184632.32814,8835.04770,3.79959,118733.01346,0.12056,8.52527,3014.03711,2664.00026,13.15495,312.17045,12.50298,196737.22145,4240.46477,0.07721,3336.46695,0.00177,267.05281,149087.26830,8.90176,9318.06315,233.21831,413.05343,229637.91784,13.42549,264.28336,280637.06344,6557.90738,340.82047,269.23775,0.54117,7654.59726,279541.89464,9.61563,402.76471,12.10308,10.77788,265051.43107,100094.00860,387.59251,334.11415,2.92620,363.09251,12.10930,8.68133,10.07001,93435.15046,7.49136,250355.46333,8075.98269,269.12121,9052.80850
352807,3963647,352807,3963647,147,352807,3963647,35.805920550000003,-106.629109600000010,389.34682,0.27462,2365.72339,2544.96851,5057.38322,3826.52205,35305.82935,13.27904,10.55755,-0.00230,156778.87970,8425.33616,18.10343,89491.77789,0.18423,2.79264,1674.53312,1138.89772,12.97823,259.41280,12.31311,172330.45475,3196.13492,0.00924,2159.04991,-0.00273,162.48286,118622.18362,5.41610,9043.61516,1035.75476,411.65035,209911.78239,13.39705,86.57192,270499.32854,5744.34849,316.72659,204.38231,-0.34831,6997.05941,271308.45477,7.29937,401.91142,11.75566,9.85405,252760.08494,64771.49726,381.70648,305.47570,5.68708,352.66994,6.85367,4.23714,8.36815,51910.52671,8.55177,233344.34392,7527.23690,131.35135,8725.78479
353194,3963647,353194,3963647,149,353194,3963647,35.805978500000002,-106.624827800000010,320.32872,0.82019,2533.85938,2585.59668,6180.27812,5170.94641,95645.37389,10.92891,9.73982,0.00036,191588.62161,8455.14697,3.56114,130166.06964,0.08579,6.96396,3439.74843,3085.33464,10.67762,273.66871,10.37706,200248.85063,4648.78820,-0.00328,3761.37532,0.00046,230.84566,160299.33878,7.69486,8896.41795,895.79865,338.79625,227896.34609,11.05971,215.88282,268596.29607,6674.96169,292.19470,235.63335,0.22192,7596.54487,266892.53845,8.41548,331.79122,10.25774,9.36880,253654.40898,112841.25962,321.68899,290.43267,3.62535,307.73207,16.24407,7.32668,8.82802,106632.20138,9.17977,243881.33125,7867.13972,227.12703,8664.39665
353606,3963653,353606,3963653,151,353606,3963653,35.806094119999997,-106.620270600000000,231.58701,0.16525,2336.57593,2532.12524,5606.21934,4317.03612,77138.13644,7.96044,6.88768,-0.03876,173792.79953,7617.70719,15.75175,103509.28823,0.11569,4.16848,2833.39018,2488.32698,7.71957,172.37177,7.02560,183371.24408,3696.76029,-0.02271,3075.28607,-0.01641,137.40363,133828.11966,4.58012,7936.43851,260.37415,246.77377,200493.79880,8.03021,129.22290,241740.24454,6112.37480,206.63034,139.23169,-0.38303,6683.12663,238093.15529,4.97256,240.90621,6.85593,6.55386,228531.21578,92258.58221,217.79364,203.16952,2.34948,205.67800,3.11820,4.41348,5.56038,87835.09553,7.64335,213968.87707,6902.22184,136.81778,7798.07240
352599,3963852,352599,3963852,154,352599,3963852,35.807736910000003,-106.631448600000000,363.85030,0.93207,2545.08472,2563.10156,6116.37641,4982.09862,88320.27572,12.44599,10.44512,0.03564,189607.66877,8882.24852,1.90175,123868.82843,0.21717,8.15177,3204.06398,2849.04115,12.12834,289.86022,11.49525,200796.39761,4423.88673,0.02701,3525.52136,0.01105,251.91066,154445.05707,8.39702,9344.84719,198.74846,385.82569,232711.32036,12.56297,252.70477,282063.32802,6693.21325,313.35361,250.64048,1.20076,7757.04401,280345.41558,8.95145,376.88915,11.10342,10.06995,266467.45549,105765.64071,356.35263,312.16847,5.36635,333.10260,26.09529,8.23618,9.35033,99325.98339,6.73190,252669.67233,8150.63459,255.32150,9098.81703
352989,3963851,352989,3963851,156,352989,3963851,35.807786389999997,-106.627133500000000,237.02291,0.22369,2355.28271,2554.55371,7019.11772,6554.13492,162216.51304,8.00342,7.87101,-0.02354,217592.64931,7429.35465,22.16167,174959.33048,0.34343,7.91168,5517.40632,5232.79074,7.90076,253.40692,7.72778,212120.67055,6248.54752,-0.00208,5677.24640,-0.00921,236.43149,203178.18265,7.88105,7476.95744,559.63428,248.10597,219333.81531,8.16176,245.26195,229265.01981,7070.68902,236.13044,225.39400,-1.03489,7311.12718,224308.72325,8.04979,244.85282,7.71972,8.03395,222880.63960,170317.39212,239.56128,249.05230,2.41055,231.59162,6.38574,7.88958,8.17442,171039.59586,7.28433,225109.04009,7261.58194,244.57684,7395.64580
353396,3963853,353396,3963853,158,353396,3963853,35.807865290000002,-106.622630700000000,374.26318,0.88997,2556.95337,2588.98486,7399.00539,6483.55967,140342.04053,12.54220,11.17972,0.01731,229369.16697,9082.02565,3.89205,168962.74246,0.19092,9.20839,4891.96366,4527.16260,12.47544,315.49792,12.13093,233180.53980,6034.38366,-0.01213,5187.78160,0.01041,274.02558,200990.34974,9.13419,9239.20843,509.51782,388.80806,254869.03174,12.78020,285.46010,282962.09230,7772.68466,335.39174,271.86454,1.18926,8495.63439,277176.25305,9.70945,383.40592,11.77497,10.78750,272460.76939,155633.44811,376.05897,334.41262,2.27449,353.24922,31.48105,9.03398,10.17735,151650.87358,7.80584,268650.76399,8666.15368,280.05344,9127.80943
352392,3964065,352392,3964065,162,352392,3964065,35.809625470000000,-106.633778199999990,310.85502,0.20721,2347.39795,2536.91553,6668.59978,5748.14925,106915.14000,10.32428,9.41867,-0.06849,206726.59309,8699.24485,13.01725,148504.21079,0.25433,7.16683,4048.57990,3448.87548,10.36183,272.94221,10.30623,213826.49194,5303.72181,-0.05541,4456.37070,-0.01799,250.18347,178192.62664,8.33945,8881.37501,466.32047,320.05271,240549.34023,10.33411,222.17158,271201.67767,7127.54973,282.56007,242.78541,-1.08638,8018.31134,266441.25028,8.67091,310.02337,10.07186,9.03006,260977.34564,133691.12102,319.49306,279.93199,2.37564,302.15577,3.40231,8.00572,8.80459,125505.97698,7.42080,256351.98047,8269.41872,248.17737,8748.44122
352800,3964055,352800,3964055,164,352800,3964055,35.809596630000001,-106.629262100000010,340.75527,0.42281,2407.02319,2556.04175,4588.26175,3345.95468,38729.30809,11.52202,9.12850,-0.01445,142236.11440,7965.97698,19.89500,75852.53628,0.15082,3.41445,1537.72596,1249.33252,11.35851,218.58043,10.63340,159592.04097,2709.01915,-0.02210,1832.73768,-0.00374,142.59822,103724.59504,4.75327,8532.85267,1267.23730,357.18266,196373.69350,11.64121,105.84799,255316.03519,5319.73470,273.85486,173.12401,0.21005,6545.78978,255985.58025,6.18300,349.23636,10.08360,8.30574,238979.30938,54982.13037,329.63537,257.47803,5.78999,302.50812,14.57350,4.13847,7.05098,47669.50461,8.95735,219263.27304,7073.00881,128.29270,8236.00114
353198,3964061,353198,3964061,166,353198,3964061,35.809710320000001,-106.624859599999990,366.56761,0.59782,2469.72192,2585.33643,6119.21442,4922.05591,86314.16028,12.47823,10.55641,0.00080,189695.64690,8873.76605,5.33715,121105.40252,0.19950,7.29842,3147.54911,2784.32775,12.21892,276.14970,11.78688,201488.30650,4325.19295,-0.04647,3454.24339,0.00922,233.82167,152583.73335,7.79406,9322.50774,1464.62439,386.82506,233671.91355,12.75715,226.25105,281398.82240,6716.27688,316.69232,234.52950,0.82266,7789.06378,279675.23229,8.37605,382.71458,11.41002,9.87162,266212.98158,103627.30165,365.39343,306.02025,4.70190,342.30069,7.93356,7.64624,8.90805,97574.02226,8.81662,253391.72926,8173.92675,237.03345,9077.38137
